,Address,Bathrooms,Bedrooms,Designation,Price
0,"Akwa, Akwa, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement à louer à Akwa                    
","CFA  500,000"
1,"Akwa, Akwa, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement à louer à Akwa                    
","CFA  500,000"
2,"Bonamoussadi, Bonamoussadi, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement À Bonamoussadi Louer À                    
","CFA  150,000"
3,"Bonamoussadi, Douala, Littoral",1 Salles de bain,2 Chambres,"

                        Appartement à louer à bonamoussadi                    
",Prix : Contactez le vendeur
4,"Nkoabang, Yaoundé, Centre",2 Salles de bain,1 Chambres,"

                        Joli studio meublé à louer                    
","CFA  200,000"
5,"Rue du collége ""les pédagogues"", Makepe, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement ultra moderne à louer à Makepé                    
","CFA  150,000"
6,"Odza, Yaoundé, Centre",1 Salles de bain,2 Chambres,"

                        Appartement à louer à Odza                    
","CFA  130,000"
7,"Bessengué, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio de haut Standing à louer à Bessengué                    
","CFA  100,000"
8,"Akwa, Akwa, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à Akwa                    
","CFA  300,000"
9,"Douala, Brazzaville, Douala, Littoral",1 Salles de bain,2 Chambres,"

                        Appartement 2 chambres à Dakar                    
","CFA  150,000"
10,"Bali, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio à louer à Bali                    
","CFA  200,000"
11,"Logpom, Douala, Littoral",3 Salles de bain,3 Chambres,"

                        Duplex De Haut Standing À Louer À Logpom                    
","CFA  250,000"
12,"DENVER, Douala, Littoral",4 Salles de bain,3 Chambres,"

                        Appartement à louer à BONAMOUSSADI                    
","CFA  800,000"
13,"COAF, Bessengue, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à BESSENGUE                    
","CFA  250,000"
14,"Makepé, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio meublé à louer à Makepé BM                    
","CFA  400,000"
15,"Santa Barbara, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio de type Américain à louer à Bonamoussadi santa Barbara                    
","CFA  700,000"
16,"COAF, Bessengue, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à BESSENGUE                    
","CFA  150,000"
17,"Kotto, Kotto, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement haut standing à louer à Kotto                    
","CFA  300,000"
18,"Kotto, Kotto, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement haut Standing alliant confort et sécurité à louer à Kotto                    
","CFA  200,000"
19,"ROND POINT SALLE DE FETES AKWA, Akwa, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        RESIDENCE CARAT                    
","CFA  1,200,000"
20,"Akwa, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement ultra moderne à louer à AKWA                    
","CFA  650,000"
21,"Bonamoussadi, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement de haut standing à louer à Bonamoussadi                    
","CFA  200,000"
22,"Logpom, Logpom, Douala, Littoral",3 Salles de bain,2 Chambres,"

                        Studio à louer à Logpom                    
","CFA  100,000"
23,"Bonapriso, Douala, Littoral",5 Salles de bain,4 Chambres,"

                        Duplex meublé à louer à Bonapriso                    
","CFA  4,500,000"
24,"Entrée Hôtel Mbanya Sable, Bonamoussadi, Douala, Littoral",3 Salles de bain,2 Chambres,"

                        Appartements haut standing                    
","CFA  200,000"
25,"Bonabéri, Bonabéri, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à Bonabéri                    
","CFA  160,000"
26,"Logpom, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio à louer à LOGPOM                    
","CFA  75,000"
27,"Akwa, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement ultra moderne à louer à Akwa                    
","CFA  650,000"
28,"Akwa, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement ultra moderne à louer à Akwa                    
","CFA  800,000"
29,"Ange Raphael, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Chambre à louer à Ange Raphael                    
","CFA  40,000"
30,"Bonamoussadi, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio à louer à Bonamoussadi Denver                    
","CFA  600,000"
31,"Akwa, Douala, Littoral",2 Salles de bain,1 Chambres,"

                        Studio À Louer À Akwa                    
",Prix : Contactez le vendeur
32,"Bonapriso, Douala, Littoral",50 Surface habitable (m²),1 Chambres,"

                        Joli Studio Meublé à Louer à Bonapriso                    
","CFA  1,200,000"
33,"Bonapriso, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio Meublé À Louer À Bonapriso                    
","CFA  1,200,000"
34,"Logpom, Logpom, Douala, Littoral",1 Salles de bain,2 Chambres,"

                        Appartement à louer à Logpom                    
","CFA  120,000"
35,"Akwa, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement ultra moderne à louer à Akwa                    
","CFA  750,000"
36,"Bonabéri, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à Bonabéri                    
","CFA  160,000"
37,"Logpom, Douala, Littoral",1 Salles de bain,2 Chambres,"

                        Appartement ultra moderne à louer à Logpom                    
","CFA  120,000"
38,"Akwa, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à Akwa                    
","CFA  650,000"
39,"Logpom, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement ultra moderne à louer à Logpom                    
","CFA  160,000"
40,"Logpom, Douala, Littoral",3 Salles de bain,3 Chambres,"

                        Appartement à louer à Logpom                    
","CFA  150,000"
41,"Bonabéri, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio à louer à Bonabéri                    
",Prix : Contactez le vendeur
42,"Bonapriso, Douala, Littoral",3 Salles de bain,2 Chambres,"

                        Appartement de haut standing à louer à Bonapriso                    
","CFA  1,200,000"
43,"Bonapriso, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à Bonapriso                    
","CFA  500,000"
44,"Bastos, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        Appartement 3 pièces à Dragage                    
","CFA  700,000"
45,"Bonamoussadi, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio Meublé À Louer À Denver Bonamoussadi                    
","CFA  900,000"
46,"ZACHMAN, Ndog Bong, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement haut standing à louer à Ndog-Bong                    
","CFA  200,000"
47,"Logpom, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement ultra moderne à louer à Logpom                    
","CFA  250,000"
48,"Ndog Bong, Douala, Littoral",2 Salles de bain,3 Chambres,"

                        Appartement à louer à Ndogbong                    
","CFA  200,000"
49,"Kotto, Kotto, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à Kotto                    
","CFA  150,000"
50,"Kotto, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement à louer à Kotto                    
","CFA  150,000"
51,"Akwa, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement À Louer À Akwa                    
","CFA  450,000"
52,"Akwa, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio à louer à Akwa                    
","CFA  350,000"
53,"Mpalla, Entre  carrefour costa bianca et golf de kribi, Kribi, Sud",2 Salles de bain,2 Chambres,"

                        2 chambres meublées à Kribi                    
","CFA  80,000"
54,"Mpalla, Entre  carrefour costa bianca et golf de kribi, Kribi, Sud",2 Salles de bain,2 Chambres,"

                        2 chambres meublées  à Kribi                    
","CFA  50,000"
55,"Bonabéri, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        Studio à louer à BONABERI                    
","CFA  50,000"
56,"Bonapriso, Douala, Littoral",4 Salles de bain,3 Chambres,"

                        APPARTEMENT SPACIEUX DE 3 CHAMBRES 4 DOUCHES PISCINE 800K BONAPRISO                    
","CFA  800,000"
57,"Logpom, Logpom, Douala, Littoral",3 Salles de bain,3 Chambres,"

                        Appartement Ultra Moderne À Louer À Logpom                    
","CFA  200,000"
58,"Logpom, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartement meublé à louer à Logpom                    
",Prix : Contactez le vendeur
59,"Akwa, Douala, Littoral",2 Salles de bain,1 Chambres,"

                        Studio À Louer À Akwa                    
",Prix : Contactez le vendeur
60,"Bonapriso, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Appartements de très Haut Standing à louer à Bonapriso                    
",Prix : Contactez le vendeur
61,"Bonapriso, Douala, Littoral",4 Salles de bain,3 Chambres,"

                        APPARTEMENT 3 CHAMBRES ENTREE ET PISCINE PRIVEE MABRE HAUT STANDING                    
","CFA  1,400,000"
