Area,Bathrooms,Bedrooms,Price,Type
Douala/Makepe,> 2 bathrooms,> 3 bedrooms,> 130 000 FCFA,3 bedrooms apartment to rent
Douala/Makepe,> 2 bathrooms,> 2 bedrooms,> 100 000 FCFA,2 bedrooms apartment to rent
Douala/Logpom,> 2 bathrooms,> 3 bedrooms,> 100 000 FCFA,3 bedrooms apartment to rent
Douala/Logpom,> 1 bathroom,> 2 bedrooms,> 75 000 FCFA,2 bedrooms apartment to rent
Douala/Makepe,> 1 bathroom,> 2 bedrooms,> 60 000 FCFA,2 bedrooms apartment to rent
Douala/Bonamoussadi,> 2 bathrooms,> 2 bedrooms,> 120 000 FCFA,2 bedrooms apartment to rent
Douala/Kotto,> 1 bathroom,> 2 bedrooms,> 75 000 FCFA,2 bedrooms apartment to rent
Douala/Makepe,> 1 bathroom,> 2 bedrooms,> 75 000 FCFA,2 bedrooms apartment to rent
Douala/Akwa I,> 1 bathroom,> 1 bedroom,> 300 000 FCFA,1 bedroom apartment to rent
Douala/Makepe,> 3 bathrooms,> 3 bedrooms,> 175 000 FCFA,3 bedrooms apartment to rent
Douala/Logpom,> 2 bathrooms,> 2 bedrooms,> 100 000 FCFA,2 bedrooms apartment to rent
Douala/Ndogbong,> 1 bathroom,> 2 bedrooms,> 90 000 FCFA,2 bedrooms apartment to rent
Douala/Makepe,> 1 bathroom,> 2 bedrooms,> 120 000 FCFA,2 bedrooms apartment to rent
Douala/Akwa I,> 2 bathrooms,> 2 bedrooms,> 110 000 FCFA,2 bedrooms apartment to rent
Douala/Bonapriso,> 3 bathrooms,> 3 bedrooms,> 750 000 FCFA,3 bedrooms apartment to rent
Douala/Akwa I,> 2 bathrooms,> 2 bedrooms,> 250 000 FCFA,2 bedrooms apartment to rent
Douala/Bonamoussadi,> 2 bathrooms,> 3 bedrooms,> 150 000 FCFA,3 bedrooms apartment to rent
Douala/Bonamoussadi,> 2 bathrooms,> 3 bedrooms,> 180 000 FCFA,3 bedrooms apartment to rent
Douala/Bonamoussadi,> 2 bathrooms,> 3 bedrooms,> 125 000 FCFA,3 bedrooms apartment to rent
Douala/Logpom,> 1 bathroom,> 2 bedrooms,> 70 000 FCFA,2 bedrooms apartment to rent
Douala/Akwa I,> 2 bathrooms,> 2 bedrooms,> 120 000 FCFA,2 bedrooms apartment to rent
Douala/Kotto,> 2 bathrooms,> 3 bedrooms,> 100 000 FCFA,3 bedrooms apartment to rent
Douala/Bonamoussadi,> 2 bathrooms,> 2 bedrooms,> 110 000 FCFA,2 bedrooms apartment to rent
Douala/Bonamoussadi,> 2 bathrooms,> 2 bedrooms,> 150 000 FCFA,2 bedrooms apartment to rent
Douala/Makepe,> 2 bathrooms,> 2 bedrooms,> 90 000 FCFA,2 bedrooms apartment to rent
Douala/Makepe,> 1 bathroom,> 2 bedrooms,> 80 000 FCFA,2 bedrooms apartment to rent
Douala/Makepe,> 2 bathrooms,> 2 bedrooms,> 150 000 FCFA,2 bedrooms apartment to rent
